sampleID	disease	CDNA	dsp_fr	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_288196_232231	20160523_C34	Inflamed	0.16	DSP	1362	50	1991340	3.385308385	9.374580195	23.68663417	pass	pass	fail	fail	1970719	86.24	110789	412650	0.479047	47.51617759	981966	1024	161460	145207	776936	13.91909292	287651	970842	0.000519607	0.073682245	0.394239869	99.44335003	p14	single cell	FALSE
WTCHG_288196_232232	20160523_C81	Uninflamed	0.14	DSP	1133	47	1462810	4.085629713	11.5592898	19.52617814	pass	pass	fail	warn	1438853	90.18	86028	222707	0.675954	85.65277432	1266551	2756	72095	61490	75812	24.78102446	366438	959243	0.001915415	0.042735429	0.052689191	99.87231537	p14	single cell	FALSE
WTCHG_288196_249230	20160523_C03	Uninflamed	0.15	DSP	1072	47	1636061	3.774920373	10.12007796	23.16160902	pass	pass	fail	warn	1612837	88.42	82319	290980	0.677827	83.23008242	1382991	2771	99423	77877	98586	23.988775	398609	1077106	0.001718091	0.048285723	0.06112583	99.94109844	p14	single cell	FALSE
WTCHG_288196_249231	20160523_C36	Uninflamed	0.15	DSP	1124	50	1942925	3.60677844	13.05254884	19.50849554	pass	pass	warn	warn	1918477	90.81	114154	280164	0.671458	83.48236588	1657706	7636	91831	105490	123033	24.28070561	482141	1275435	0.003980241	0.054986325	0.064130558	99.96420505	p14	single cell	FALSE
WTCHG_288196_249232	20160523_C83	Uninflamed	0.14	DSP	662	50	1521530	3.883656583	12.33988836	17.18636742	pass	pass	warn	warn	1502371	91.36	60728	211232	0.706609	89.61434509	1364054	551	62966	32457	62110	23.61737241	359489	1041599	0.000366754	0.021603852	0.04134132	99.94516877	p14	single cell	FALSE
WTCHG_288196_250230	20160523_C09	Uninflamed	0.14	DSP	1314	46	2088249	3.742609239	9.769956951	22.84268889	pass	pass	fail	warn	2059543	89.07	117297	362694	0.694072	82.91528864	1763216	3703	111339	105795	142474	22.16576606	471361	1410540	0.001797972	0.051368192	0.069177483	99.93961647	p14	single cell	FALSE
WTCHG_288196_250231	20160523_C39	Uninflamed	0.15	DSP	1127	50	2492271	3.324397708	8.963111067	21.10737577	pass	pass	fail	fail	2468611	90.39	144890	380704	0.714091	84.24036392	2149419	4387	115124	130121	152480	21.47471459	547934	1757720	0.001777113	0.052710208	0.061767528	99.96244889	p14	single cell	FALSE
WTCHG_288196_250232	20160523_C84	Uninflamed	0.16	DSP	1072	49	2175504	3.206659239	10.95576647	22.00640704	pass	pass	fail	warn	2155754	89.66	125202	352807	0.691414	85.15190334	1890454	8162	117369	102659	101452	23.71194759	526428	1466959	0.003786146	0.047620925	0.047061028	99.97466624	p14	single cell	FALSE
WTCHG_288196_251230	20160523_C12	Uninflamed	0.16	DSP	1219	48	2391327	4.006018416	9.393180537	18.04590267	pass	pass	fail	warn	2357815	90.37	131412	371137	0.609574	65.8985369	1597312	840	109086	100835	615823	15.59844152	378090	1436586	0.000356262	0.04276629	0.261183765	99.62676994	p14	single cell	FALSE
WTCHG_288196_251231	20160523_C40	Uninflamed	0.15	DSP	961	58	2041003	3.687745682	11.12459411	20.0900717	pass	pass	fail	warn	2018614	90.39	107180	314982	0.681445	80.38506791	1661569	1086	94397	76623	233337	20.14400497	416379	1360393	0.000537993	0.037958223	0.115592679	99.92186656	p14	single cell	FALSE
WTCHG_288196_251232	20160523_C85	Uninflamed	0.16	DSP	1028	43	2103866	3.063455562	9.548849144	19.92769125	pass	pass	fail	warn	2087161	90.55	110275	321648	0.702017	87.65826621	1865836	4287	94141	69794	94476	23.52116527	500656	1448206	0.002053986	0.033439682	0.045265315	99.97247353	p14	single cell	FALSE
WTCHG_288196_252230	20160523_C14	Uninflamed	0.15	DSP	1123	45	1572721	4.608446126	11.77718403	22.28575217	pass	pass	fail	fail	1538382	87.93	75141	289311	0.635665	76.58840484	1214856	368	100334	71633	199023	21.96544729	348419	961357	0.000239212	0.046563857	0.129371639	98.8114441	p14	single cell	FALSE
WTCHG_288196_252231	20160523_C45	Uninflamed	0.15	DSP	1039	46	1704181	3.543813715	12.8719865	17.57333781	pass	pass	warn	warn	1687363	91.71	108204	228361	0.591904	70.79559096	1236125	1613	69332	91012	347966	20.000252	349214	1000352	0.000955929	0.053937416	0.206218816	99.93125551	p14	single cell	FALSE
WTCHG_288196_252232	20160523_C87	Uninflamed	0.14	DSP	1011	53	2129555	3.615403218	13.07702616	18.21942497	pass	pass	warn	warn	2102377	91.41	105466	291144	0.721093	88.28411446	1891850	3583	89505	63705	94268	22.19051561	475523	1491102	0.001704261	0.030301416	0.044838771	99.96342514	p14	single cell	FALSE
WTCHG_288196_253230	20160523_C17	Inflamed	0.14	DSP	1138	52	2476081	3.778026648	10.11703512	23.8683387	pass	pass	fail	warn	2443178	88.08	128831	454294	0.721885	83.26305052	2087219	3068	157360	102508	156622	20.38258688	510946	1718036	0.001255741	0.041956828	0.064105849	99.96868791	p14	single cell	FALSE
WTCHG_288196_253231	20160523_C46	Inflamed	0.15	DSP	937	52	2250346	3.44422591	10.87074383	20.71249431	pass	pass	fail	warn	2225309	88.98	104968	380513	0.726868	82.58624266	1883390	779	131843	85482	179019	18.53543479	422703	1583455	0.000350064	0.038413542	0.080446805	99.86527285	p14	single cell	FALSE
WTCHG_288196_253232	20160523_C90	Uninflamed	0.17	DSP	1462	50	2601077	2.90175954	9.645107577	19.79514862	pass	pass	warn	warn	2586851	90.18	187618	415465	0.538326	58.46210329	1616255	5115	123066	266510	753674	16.43889576	454473	1472122	0.001977308	0.103024875	0.291348052	99.76556845	p14	single cell	FALSE
WTCHG_288196_254230	20160523_C18	Uninflamed	0.17	DSP	508	43	119620	2.989466644	14.19078297	43.87074351	pass	pass	fail	fail	117967	68.04	9028	50374	0.294022	30.36324123	43032	211	27812	34964	35705	21.08887697	29888	46847	0.001788636	0.296387973	0.302669391	99.98872837	p14	single cell	FALSE
WTCHG_288196_254231	20160523_C47	Uninflamed	0.16	DSP	1156	52	2649712	3.397765493	9.748999775	21.42860138	pass	pass	fail	warn	2623475	89.81	133784	431161	0.748904	85.82368693	2296974	3074	131223	87385	157731	18.99725264	508440	1922765	0.001171728	0.033308875	0.060122929	99.95801574	p14	single cell	FALSE
WTCHG_288196_254232	20160523_C91	Uninflamed	0.14	DSP	1561	54	2096908	5.045285725	15.74369506	18.17162755	pass	pass	fail	fail	2038414	91.29	101552	273898	0.741287	88.39042628	1833670	3645	97451	57249	82497	20.9690279	435005	1473800	0.001788155	0.02808507	0.04047117	99.85660321	p14	single cell	FALSE
WTCHG_288196_255230	20160523_C20	Uninflamed	0.16	DSP	1473	53	2434606	3.546857274	10.15929776	18.59449812	pass	pass	warn	warn	2411466	90.53	159601	367237	0.581805	66.53783459	1669918	6485	116473	153616	563235	18.77267926	471143	1416088	0.002689236	0.063702329	0.233565391	99.89706721	p14	single cell	FALSE
WTCHG_288196_255231	20160523_C51	Inflamed	0.14	DSP	706	48	2444697	3.427745852	9.54529071	15.84284416	pass	pass	warn	warn	2424956	92.58	110033	308683	0.774201	93.29394482	2280605	469	69077	31285	63101	18.93556939	462887	1852827	0.000193406	0.012901265	0.026021503	98.92458348	p14	single cell	FALSE
WTCHG_288196_255232	20160523_C95	Uninflamed	0.15	DSP	1937	52	2108133	3.329344021	13.06630837	21.71889577	pass	pass	warn	warn	2084885	88.61	122505	380822	0.557222	61.11641457	1324606	3129	129054	124867	585693	18.48077998	400543	1149559	0.001500802	0.059891553	0.280923408	99.66552305	p14	single cell	FALSE
WTCHG_288196_256230	20160523_C24	Inflamed	0.16	DSP	1066	47	1936169	4.052487154	10.53787938	17.5645753	pass	pass	fail	warn	1907618	90.37	106608	290524	0.606807	69.53936961	1374180	1815	95800	98085	406238	18.3599866	362815	1160409	0.000951448	0.051417527	0.212955634	99.80858786	p14	single cell	FALSE
WTCHG_288196_256231	20160523_C58	empty	0.14	DSP	647	49	2153086	3.707469186	10.63803764	15.82176079	pass	pass	warn	warn	2131697	92.81	90126	265746	0.767222	93.19905373	1999376	258	57042	22408	66191	19.48435515	417993	1617139	0.00012103	0.010511813	0.031050848	99.16300853	p14	empty site control	FALSE
WTCHG_288196_256232	20160523_Bulk2	Inflamed	0.03	DSP	3745	45	1625298	5.423682303	12.79144499	14.20246466	pass	pass	fail	fail	1572551	89.61	128592	236505	0.155387	4.749103208	81050	1700	111926	202297	1309665	3.900006914	66559	307809	0.001081046	0.128642569	0.832828315	88.91520916	p14	bulk control	FALSE
